Date,Open,High,Low,Close,Adj Close,Volume
2017-09-26,302.331085,302.845886,298.213104,299.757385,270.846466,8452651
2017-09-27,299.928894,300.701111,295.296204,295.639313,267.125580,13039206
2017-09-28,296.325714,303.532196,295.639313,303.360596,274.102142,12182215
2017-09-29,304.218597,307.135498,301.816406,304.390106,275.032379,12346246
2017-10-02,305.419586,309.890106,304.218597,309.880798,279.993469,15993964
2017-10-03,310.567200,316.057892,309.819092,316.057892,285.574829,22937842
2017-10-04,316.057892,317.430511,313.827301,317.430511,286.815063,13192676
2017-10-05,317.430511,317.773712,313.827301,316.057892,285.574829,25955438
2017-10-06,317.258911,318.545807,315.371490,315.543091,285.109680,10748965
2017-10-09,313.998810,315.924011,312.339600,315.543091,285.109680,5483121
2017-10-10,314.513611,315.199890,309.194489,312.969299,282.784119,7296859
2017-10-11,308.851288,313.143707,308.336609,312.626190,282.474121,9287553
2017-10-12,311.768311,316.401001,311.768311,315.886292,285.419800,9285493
2017-10-13,314.513611,316.229401,312.282990,313.312500,283.094208,6484053
2017-10-16,313.312500,313.312500,309.022888,311.253510,281.233856,7794778
2017-10-17,311.596710,313.140900,308.679688,311.425110,281.388855,23234021
2017-10-18,313.140900,319.661102,310.738708,319.146393,288.365479,10929142
2017-10-19,318.803192,319.717712,317.087402,318.116913,287.435272,10406975
2017-10-20,319.146393,320.175903,316.401001,317.773712,287.125183,24616561
2017-10-23,317.258911,320.519012,316.401001,320.519012,289.605713,5101169
2017-10-24,318.974792,321.377014,317.543793,321.377014,290.380920,9026970
2017-10-25,320.004303,322.234894,316.744202,322.234894,291.156067,12627096
2017-10-26,321.891693,323.968201,319.832703,323.950714,294.147430,9184706
2017-10-27,324.293915,331.328796,323.436005,330.985687,300.535156,17042509
2017-10-30,329.613007,332.873108,327.897186,331.500397,301.002472,13094890
2017-10-31,328.411896,333.902588,328.240295,333.902588,303.183716,18276224
2017-11-01,334.245789,334.245789,328.240295,329.441406,299.132965,13660126
2017-11-02,327.897186,331.843597,327.210785,331.157288,300.690979,65406881
2017-11-03,330.642487,335.275299,330.299286,335.275299,304.430115,55849628
2017-11-06,334.588898,337.694611,333.559387,336.647888,305.676453,8287257
2017-11-07,336.304810,336.647888,332.873108,334.932098,304.118500,9201718
2017-11-08,334.417389,335.618408,327.668915,329.269806,298.977142,25073495
2017-11-09,327.725586,328.411896,319.317993,322.234894,292.589447,19925955
2017-11-10,322.234894,322.605499,317.087402,318.459991,289.161774,10499347
2017-11-13,316.915802,317.087402,310.223999,311.253510,282.618347,11725553
2017-11-14,310.910309,314.513611,309.366089,310.395599,281.839325,10672373
2017-11-15,309.194489,314.342010,309.194489,311.253510,282.618347,8072685
2017-11-16,311.768311,311.768311,307.307098,307.821808,279.502350,9810061
2017-11-17,307.135498,309.366089,303.703796,305.076508,277.009644,10865838
2017-11-20,307.821808,309.022888,306.105988,307.821808,279.502350,5194368
2017-11-21,307.993408,308.508209,304.390106,305.762787,277.632721,24658040
2017-11-22,305.762787,308.508209,304.733307,305.076508,277.009644,10608640
2017-11-23,304.390106,306.963898,303.532196,305.591187,277.476959,7899138
2017-11-24,305.248108,305.762787,304.046997,304.218597,276.230621,5257888
2017-11-27,304.390106,305.934387,302.845886,302.845886,274.984192,10874262
2017-11-28,301.988007,301.988007,293.408813,298.556305,271.089264,23152163
2017-11-29,297.698395,299.071014,293.408813,295.467804,268.284912,25265704
2017-11-30,294.609802,296.497314,291.178192,294.095093,267.038483,26141898
